#,City_name,Source url,Hotel Name,Location ,City,State,Zip,Phone,Rate,% of guests recommend,Stars out of 5,Count of reviews,Count of reviews__1,Number of starts out of 5,% of guests recommend__1,Room cleanliness,Service & Staff,Room comfort,Hotel condition
1,Atlanta,https://www.expedia.co.uk/Hartsfield-Jackson-Atlanta-International-Airport-Hotels-Super-8-College-ParkAtlanta-Airport-West.h20056.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=46.03&exp_ts=1519289107760&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,Super 8 College Park/Atlanta Airport West,Old National Hwy,College Park,GA,NA,020 3564 5165,2.0,23%,2.3,502,502,2.3,23%,2.4013944,2.6563747,2.4810755,2.1421273
2,Atlanta,https://www.expedia.co.uk/Hartsfield-Jackson-Atlanta-International-Airport-Hotels-Atlanta-Airport-Marriott-Gateway.h3507488.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=252.94&exp_ts=1519289107760&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR&candidateHmGuid=cd5de8ac-00e2-4917-a694-4e8b9d21b19d&beaconIssued=2018-02-22T08:45:05,Atlanta Airport Marriott Gateway,Convention Center Concourse,College Park,GA,NA,020 3564 5165,4.0,90%,4.5,894,894,4.5,90%,4.7114105,4.567116,4.620805,4.6503515
3,Atlanta,https://www.expedia.co.uk/Hartsfield-Jackson-Atlanta-International-Airport-Hotels-Red-Lion-Hotel-Atlanta-Airport.h15749.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=49.6&exp_ts=1519289107762&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,Red Lion Hotel Atlanta Airport,Virginia Avenue,College Park,GA,NA,020 3564 5165,3.5,55%,3.4,908,908,3.4,55%,3.6354625,3.777533,3.774229,3.438326
4,Atlanta,https://www.expedia.co.uk/Atlanta-Hotels-Loews-Atlanta-Hotel.h3412214.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=170.83&exp_ts=1519289107762&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,Loews Atlanta Hotel,Peachtree St NE,Atlanta,GA,NA,020 3564 5165,4.5,93%,4.6,949,949,4.6,93%,4.7386713,4.618546,4.6206527,4.6857457
5,Atlanta,https://www.expedia.co.uk/Atlanta-Hotels-Artmore-Hotel-Midtown.h8303.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=120.42&exp_ts=1519289107762&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,Artmore Hotel - Midtown,West Peachtree Street,Atlanta,GA,NA,020 3564 5165,3.5,87%,4.2,"1,632",1632,4.2,87%,4.4473042,4.3216915,4.2732835,4.145166
6,Atlanta,https://www.expedia.co.uk/Atlanta-Hotels-Sheraton-Atlanta-Hotel.h16996.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=128.82&exp_ts=1519289107763&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,Sheraton Atlanta Hotel,Courtland Street NE,Atlanta,GA,NA,020 3564 5165,4.0,80%,4.1,"3,376",3376,4.1,80%,4.315167,4.2591834,4.1819344,4.1119313
7,Atlanta,https://www.expedia.co.uk/Atlanta-Hotels-The-Whitley.h8530.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=131.45&exp_ts=1519289107763&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,"The Whitley, a Luxury Collection Hotel, Atlanta Buckhead",Peachtree Rd NE,Atlanta,GA,NA,020 3564 5165,5.0,87%,4.6,461,461,4.6,87%,4.7103014,4.7103004,4.5708156,4.513454
8,Atlanta,https://www.expedia.co.uk/Hartsfield-Jackson-Atlanta-International-Airport-Hotels-Renaissance-Atlanta-Airport-Gateway-Hotel.h16127448.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=227.91&exp_ts=1519289107764&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR&candidateHmGuid=cd5de8ac-00e2-4917-a694-4e8b9d21b19d&beaconIssued=2018-02-22T08:45:05,Renaissance Atlanta Airport Gateway Hotel,Convention Center Concourse,College Park,GA,NA,020 3564 5165,4.0,88%,4.6,132,132,4.6,88%,4.8863635,4.530303,4.727272,4.787879
9,Atlanta,https://www.expedia.co.uk/Atlanta-Hotels-The-House-Of-Atlanta.h22497244.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=110.98&exp_ts=1519289107765&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,The House Of Atlanta,Tilden Street Northwest,Atlanta,GA,NA,020 3564 5165,4.0,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0
10,Atlanta,https://www.expedia.co.uk/Atlanta-Hotels-Regency-Suites-Hotel.h6270.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=98.12&exp_ts=1519289107765&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,Regency Suites Hotel,W Peachtree Street NW,Atlanta,GA,NA,020 3564 5165,3.0,86%,4.1,"1,065",1065,4.1,86%,4.289327,4.2228475,4.1226597,4.0209656
